REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cln_1.wav	 enh_1.wav	 SQValue=1.919	 1.919	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.729	 1.729	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.568	 1.568	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.846	 1.846	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.622	 1.622	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.589	 1.589	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.452	 1.452	 0.000	 0	 16000	-0.0080
 cln_1.wav	 enh_1.wav	 SQValue=1.615	 1.615	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.685	 1.685	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.480	 1.480	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.808	 1.808	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.897	 1.897	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.352	 1.352	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.792	 1.792	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.793	 1.793	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.444	 1.444	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.619	 1.619	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.653	 1.653	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.556	 1.556	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.524	 1.524	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.819	 1.819	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.749	 1.749	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.493	 1.493	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.828	 1.828	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.751	 1.751	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.580	 1.580	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.672	 1.672	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.678	 1.678	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.757	 1.757	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.616	 1.616	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.825	 1.825	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.828	 1.828	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.583	 1.583	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.876	 1.876	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.757	 1.757	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.605	 1.605	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.586	 1.586	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.588	 1.588	 0.000	 0	 16000	0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.638	 1.638	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.510	 1.510	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.881	 1.881	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.692	 1.692	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.496	 1.496	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.802	 1.802	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.706	 1.706	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.588	 1.588	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.596	 1.596	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.637	 1.637	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.672	 1.672	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.419	 1.419	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.745	 1.745	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.505	 1.505	 0.000	 0	 16000	-0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.370	 1.370	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.837	 1.837	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.719	 1.719	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.508	 1.508	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.636	 1.636	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.708	 1.708	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.749	 1.749	 0.000	 0	 16000	-0.0080
 cln_1.wav	 enh_1.wav	 SQValue=1.622	 1.622	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.887	 1.887	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.901	 1.901	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.606	 1.606	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.929	 1.929	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.771	 1.771	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.640	 1.640	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.699	 1.699	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.674	 1.674	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.745	 1.745	 0.000	 0	 16000	-0.0080
 cln_1.wav	 enh_1.wav	 SQValue=1.586	 1.586	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.842	 1.842	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.843	 1.843	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.696	 1.696	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.845	 1.845	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.818	 1.818	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.611	 1.611	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.616	 1.616	 0.000	 0	 16000	0.0000
